epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,942.782,1.27408,0.84525,1.34522,0.84773,0.86267,0.89792,0.4415,1.92487,1.05575,2.01501,0.000424187,0.000424187,0.000424187
43,965.115,1.25651,0.84412,1.34838,0.91357,0.81786,0.89891,0.44036,1.91999,1.036,2.035,0.000417119,0.000417119,0.000417119
44,987.657,1.25595,0.8583,1.33924,0.81803,0.83168,0.83621,0.38114,1.97712,1.17073,2.09403,0.00041005,0.00041005,0.00041005
45,1008.94,1.25999,0.83096,1.35678,0.84452,0.87091,0.85331,0.39977,1.89551,1.14814,2.04825,0.000402982,0.000402982,0.000402982
46,1031.75,1.23672,0.79429,1.33374,0.94081,0.87198,0.90871,0.47311,1.89903,1.04197,2.0006,0.000395913,0.000395913,0.000395913
47,1055.16,1.25195,0.83133,1.33842,0.8758,0.85398,0.9039,0.46425,1.93016,1.06577,2.0603,0.000388844,0.000388844,0.000388844
48,1077.6,1.25021,0.83388,1.32708,0.90813,0.85267,0.90357,0.45623,1.91527,1.03668,2.0439,0.000381776,0.000381776,0.000381776
49,1100.18,1.23541,0.78945,1.3326,0.91649,0.85537,0.899,0.43562,1.98137,0.9929,2.11346,0.000374707,0.000374707,0.000374707
50,1123.22,1.17962,0.75267,1.29821,0.94322,0.84529,0.91492,0.4616,1.93498,1.02345,2.09238,0.000367639,0.000367639,0.000367639
51,1145.46,1.1827,0.76522,1.3015,0.94614,0.88188,0.92286,0.4841,1.93671,0.93169,2.14176,0.00036057,0.00036057,0.00036057
52,1168.03,1.1834,0.76642,1.30123,0.93453,0.86301,0.89397,0.45417,1.94399,0.99378,2.07113,0.000353501,0.000353501,0.000353501
53,1190.86,1.17898,0.75025,1.27921,0.87088,0.89973,0.91398,0.46679,1.93176,0.88041,2.05578,0.000346433,0.000346433,0.000346433
54,1213.1,1.17638,0.7618,1.29082,0.88444,0.85934,0.88819,0.44099,1.94363,1.07797,2.12259,0.000339364,0.000339364,0.000339364
55,1236.04,1.13267,0.70764,1.26434,0.90822,0.87903,0.89728,0.47218,1.92351,0.92381,2.12764,0.000332296,0.000332296,0.000332296
56,1259.07,1.15503,0.72849,1.28424,0.94443,0.89178,0.91963,0.49837,1.89226,0.87823,2.04973,0.000325227,0.000325227,0.000325227
57,1282.2,1.13459,0.73492,1.2761,0.84991,0.87309,0.87846,0.43005,1.924,1.05202,2.12767,0.000318158,0.000318158,0.000318158
58,1304.71,1.14405,0.7212,1.27433,0.91799,0.86032,0.90466,0.46595,1.94275,0.97013,2.11218,0.00031109,0.00031109,0.00031109
59,1327.33,1.13788,0.69325,1.26848,0.85168,0.88419,0.88494,0.41926,1.93272,0.98492,2.09234,0.000304021,0.000304021,0.000304021
60,1349.96,1.11374,0.70678,1.2364,0.88191,0.86499,0.87571,0.42993,1.94813,0.97772,2.10022,0.000296953,0.000296953,0.000296953
61,1372.29,1.09179,0.68478,1.23666,0.89452,0.862,0.88029,0.42134,1.93482,0.93214,2.14171,0.000289884,0.000289884,0.000289884
62,1395.25,1.09696,0.6832,1.24026,0.93318,0.83954,0.90674,0.45501,1.93632,0.87724,2.15291,0.000282815,0.000282815,0.000282815
63,1418.3,1.07838,0.67506,1.22708,0.93695,0.8144,0.90452,0.40582,1.98581,0.97106,2.18722,0.000275747,0.000275747,0.000275747
